DEC_15seg,DEC_30seg,DEC_45seg,DEC_60seg,DEC_globopreenchido,EtOH_15seg,EtOH_30seg,EtOH_45seg,EtOH_60seg,EtOH_globo preenchido,H2O_15seg,H2O_30seg,H2O_45seg,H2O_60seg,H2O_globopreenchido
,44.33686274509804,57.95490196078431,,,45.6043137254902,49.45294117647059,53.794117647058826,54.90705882352941,,38.97176470588235,54.71960784313725,70.19882352941175,,
,,,,,,,,,,,,,,
,,49.38627450980392,,,,,,65.14470588235294,,,53.84117647058824,73.83176470588234,,
33.627450980392155,,57.95490196078431,43.77882352941177,70.5721568627451,60.43176470588235,48.65882352941176,53.463921568627455,52.21294117647058,57.47843137254903,63.32823529411764,58.45294117647059,71.78823529411764,,
,40.15176470588236,52.739215686274505,,,44.823921568627455,,53.95921568627451,54.90705882352941,,42.755294117647054,55.378431372549024,72.01529411764704,,
,,41.93529411764706,,,,,,,,,48.13137254901961,,,
,,,,,,,,,,,,,,
,,41.93529411764706,,,,,,,,,,,,
,,45.10196078431372,,,,,,,,,60.64901960784314,53.62352941176469,,
,,,,,,,,,,,45.93529411764706,,,
,,52.92549019607843,,,44.667843137254906,,,,,,63.72352941176471,76.32941176470588,,
,48.88588235294118,60.74901960784314,,,48.56980392156863,54.21764705882353,48.51098039215687,55.445882352941176,48.913725490196086,58.59882352941176,58.67254901960785,60.88941176470587,,74.11960784313726
,,56.65098039215687,,,42.79490196078432,,,59.57686274509804,,,65.2607843137255,59.3,,
,,,,,,,,,,,43.73921568627451,,,
,,,,,,,,,,,43.73921568627451,,,
42.41176470588235,52.707058823529415,54.41568627450981,52.84941176470589,,60.43176470588235,54.694117647058825,56.10549019607844,53.64980392156863,57.3,,,47.26588235294117,59.31333333333333,71.9843137254902
,,49.01372549019608,,,,,,64.60588235294117,,,58.01372549019608,,,
37.01568627450981,63.07882352941177,59.44509803921568,47.20549019607843,69.2356862745098,60.9,54.21764705882353,55.445098039215694,56.70313725490196,58.1921568627451,66.16588235294117,58.23333333333333,67.2470588235294,,75.54313725490195
,44.51882352941177,59.817647058823525,,,47.009019607843136,49.92941176470588,56.27058823529412,56.1643137254902,50.69803921568628,57.41647058823529,66.13921568627453,69.51764705882353,,66.0529411764706
,,,,,,,,,,,39.78627450980392,,,
,38.69607843137256,56.65098039215687,,,43.26313725490196,,54.61960784313726,54.18862745098039,,,72.28823529411764,66.11176470588235,,
,,41.37647058823529,,,44.823921568627455,,,54.90705882352941,,,67.45686274509805,59.07294117647058,,
,45.24666666666667,59.6313725490196,,,54.18862745098039,55.805882352941175,54.61960784313726,53.64980392156863,51.590196078431376,,56.69607843137255,51.125882352941176,,45.886274509803926
41.15686274509804,50.88745098039216,53.11176470588235,53.65568627450981,66.34,,55.32941176470588,,47.54313725490196,48.37843137254902,61.43647058823529,,,64.00666666666666,69.84901960784313
,,53.11176470588235,,,42.01450980392157,,49.83176470588235,59.21764705882352,,,60.20980392156863,69.51764705882353,,
,,,,,,,,,,,43.3,,,
46.67843137254901,,,64.54039215686275,67.00823529411764,,55.64705882352941,56.27058823529412,48.62078431372549,44.80980392156863,56.47058823529412,53.84117647058824,49.99058823529411,63.79333333333332,61.307843137254906
,,54.04313725490197,,,,,,57.78078431372548,,,66.79803921568629,66.33882352941175,,
,,,61.71843137254902,70.79490196078432,,48.81764705882353,,53.47019607843137,51.590196078431376,,,46.13058823529411,70.40666666666665,58.935294117647054
,,,,,,,,,,,44.61764705882353,,,
,,,,,,,,,,,41.98235294117647,,,
,,,,,,,,,,,49.6686274509804,,,
,,60.00392156862745,,,47.78941176470588,,55.61019607843138,53.82941176470588,57.12156862745098,,72.28823529411764,51.35294117647058,,
,,,,,,,,,,,45.2764705882353,,,
,,54.04313725490197,,,,,,59.03803921568627,,,58.23333333333333,,,
,,,61.11372549019609,74.13607843137255,,,,51.31490196078431,50.69803921568628,,52.74313725490197,,56.53999999999999,59.17254901960784
37.01568627450981,45.79254901960785,51.62156862745098,,71.68588235294118,60.9,58.34705882352941,54.61960784313726,55.445882352941176,56.76470588235294,63.32823529411764,55.81764705882353,69.0635294117647,,51.34313725490196
,38.87803921568627,52.739215686274505,,,45.9164705882353,,,54.009019607843136,,51.50470588235294,49.88823529411765,70.19882352941175,,
,,66.89607843137254,,,47.94549019607843,52.629411764705885,57.756470588235295,55.445882352941176,61.04705882352942,61.2,,45.44941176470588,,70.3235294117647
42.035294117647055,41.78941176470589,,58.8964705882353,60.54862745098039,59.18313725490196,48.81764705882353,56.93098039215687,56.34392156862744,59.61960784313726,62.38235294117647,58.23333333333333,64.06823529411764,62.29999999999998,70.79803921568629
,,49.2,,,,,,56.1643137254902,,,66.13921568627453,59.5270588235294,,
,,51.62156862745098,,,,,,,,,53.84117647058824,,,
,51.25137254901961,53.11176470588235,,,56.21764705882353,56.28235294117647,58.9121568627451,54.90705882352941,61.04705882352942,47.957647058823525,69.21372549019608,69.74470588235293,,62.7313725490196
,,57.95490196078431,,,44.04352941176471,,,54.009019607843136,,,58.01372549019608,60.20823529411764,,
,36.69450980392157,52.36666666666666,,,44.98,,53.794117647058826,56.70313725490196,,39.91764705882353,49.44901960784314,69.97176470588235,,
,,58.51372549019608,,,44.98,,49.66666666666667,56.882745098039216,,,70.0921568627451,72.69647058823529,,
,,,,,,,,,,,,,,
,,53.67058823529412,,,45.44823529411765,49.92941176470588,55.445098039215694,53.64980392156863,50.69803921568628,41.336470588235294,72.06862745098039,59.07294117647058,,
,49.43176470588236,49.57254901960784,,,55.90549019607843,58.34705882352941,57.426274509803925,56.70313725490196,51.41176470588236,59.544705882352936,69.43333333333334,60.20823529411764,,48.73333333333333
,37.96823529411765,49.38627450980392,,,44.823921568627455,,,53.64980392156863,,,49.44901960784314,74.05882352941175,,
,,,,,,,,,,,47.6921568627451,,,
,,,,,,,,,,,,,,
,,44.72941176470588,,,,,,65.68352941176471,,,56.69607843137255,73.60470588235293,,
,,,,,,,,,,,44.17843137254902,,,
,,,,,,,,,,,44.61764705882353,,,
,,,,,,,,,,,47.6921568627451,,,
,42.69921568627451,54.04313725490197,,,44.667843137254906,,53.133725490196085,59.93607843137255,,44.88352941176471,70.31176470588235,72.46941176470588,,
,,47.70980392156862,,,,,,65.86313725490196,,,58.23333333333333,,,
,,,,,,,,,,,43.08039215686274,,,
,,,,,,,,,,,46.59411764705882,,,
,,54.04313725490197,,,,,,,,,57.57450980392157,60.66235294117647,,
,,48.82745098039216,,,44.823921568627455,,50.32705882352941,56.5235294117647,,,54.71960784313725,58.39176470588235,,
,53.07098039215686,56.65098039215687,,,57.93450980392157,56.75882352941176,58.41686274509805,53.64980392156863,58.54901960784314,56.9435294117647,69.43333333333334,67.2470588235294,,55.85098039215686
,40.51568627450981,54.04313725490197,,,44.04352941176471,,53.133725490196085,64.96509803921569,,,63.72352941176471,58.39176470588235,,
,41.24352941176471,57.95490196078431,,,48.56980392156863,56.12352941176471,53.794117647058826,53.11098039215686,48.2,,70.31176470588235,68.83647058823529,,
,,,,,,,,,,,41.98235294117647,,,
38.647058823529406,57.438039215686274,,,47.62941176470588,59.9635294117647,53.58235294117647,56.10549019607844,53.11098039215686,58.01372549019608,,,68.83647058823529,,76.25490196078431
,,,,,,,,,,,53.84117647058824,,,
,40.87960784313726,54.41568627450981,,,46.54078431372549,49.77058823529411,55.445098039215694,58.319607843137256,,39.20823529411764,56.476470588235294,59.07294117647058,,
,,57.95490196078431,,,44.823921568627455,,,59.57686274509804,,,60.20980392156863,64.52235294117646,,
,39.78784313725491,54.41568627450981,,,44.823921568627455,46.752941176470586,,56.34392156862744,,39.91764705882353,71.84901960784313,53.62352941176469,,
,,,,,,,,,,,,,,
,,41.562745098039215,,,,,,,,,52.74313725490197,,,
,,49.38627450980392,,,44.667843137254906,,,58.49921568627451,,,64.16274509803922,75.19411764705882,,
39.52549019607843,61.62313725490196,54.41568627450981,46.80235294117647,60.10313725490196,57.46627450980392,55.64705882352941,62.04901960784314,,59.26274509803922,55.05176470588235,,,58.67333333333332,67.71372549019608
,,,,,,,,,,,53.84117647058824,,,
,,,,,,,,,,,39.78627450980392,,,
,,,,,,,,,,,,,,
,,43.42549019607843,,,,,,,,,53.84117647058824,,,
,,49.57254901960784,,,44.98,,,59.57686274509804,,,46.59411764705882,,,
,,43.42549019607843,,,,,,,,,54.71960784313725,,,
41.65882352941176,41.42549019607844,44.72941176470588,61.92,58.766666666666666,,55.17058823529412,,,41.95490196078431,,,59.3,68.27333333333333,
,47.97607843137256,,55.87294117647059,,,58.34705882352941,57.756470588235295,,,63.32823529411764,54.71960784313725,,58.67333333333332,69.84901960784313
,,,,,,,,,,,,,,
,,,,,,,,,,,54.71960784313725,,,
45.423529411764704,,44.17058823529412,45.39137254901961,66.34,,,,,58.905882352941184,,45.2764705882353,64.29529411764705,59.31333333333333,61.78235294117647
,,44.72941176470588,,,,,,,,,58.01372549019608,60.20823529411764,,
,,,,,,,,,,,52.74313725490197,,,
,,42.49411764705882,,,,,,,,,49.88823529411765,,,
,,47.70980392156862,,,,,,,,,54.06078431372549,,,
,,,,,,,,,,,,,,
,,54.41568627450981,,,44.667843137254906,,,55.805098039215686,,,71.40980392156862,72.24235294117646,,
,,,,,,,,,,,49.88823529411765,,,
,,,,,,,,,,,52.52352941176471,,,
,,,,,,,,,,,49.22941176470589,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,44.61764705882353,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,40.22549019607843,,,
